,planetMass,planetRadius,orbitRadius,velocity,requiredVelcity,thrust
0,800000000000000000000000,5960995.359999999,6557094.896,2839.8377556680025,2852.6742109892634,27600000
1,7000000000000000000000000,6146069.46,6760676.406,8309.356075292575,8310.303067627308,59300000
2,2000000000000000000000000,4807098.58,5287808.438,5002.357695767433,5022.732602304763,32000000
3,10000000000000000000000000,6673932.9799999995,7341326.278,9543.930766436311,9531.816078562068,73800000
4,9000000000000000000000000,5521645.54,6073810.0940000005,9962.387561246225,9941.537778191787,90100000
5,800000000000000000000000,3905868.1799999997,4296454.998,3530.010492449187,3524.1369485607383,23000000
6,8000000000000000000000000,5468537.319999999,6015391.052,9390.282165556975,9418.374989109318,81300000
7,800000000000000000000000,6736697.239999999,7410366.964,2688.535030101247,2683.4162968342503,30000000
8,7000000000000000000000000,3415019.48,3756521.4280000003,11108.735820497594,11148.565807022285,151700000
9,2000000000000000000000000,4409591.6,4850550.76,5236.308732852309,5244.237937250409,31300000
10,4000000000000000000000000,4182674.6599999997,4600942.126,7627.80684294592,7614.993332396011,64200000
11,7000000000000000000000000,3373176.6399999997,3710494.304,11252.029356816936,11217.499332093814,158500000
12,8000000000000000000000000,3609749.6199999996,3970724.582,11609.647155024839,11592.391191169116,161400000
13,6000000000000000000000000,5198168.2,5717985.0200000005,8334.27194354839,8365.984113023178,66700000
14,10000000000000000000000000,5017922.12,5519714.332,10939.686935708152,10992.70607980984,116400000
15,10000000000000000000000000,5653611.42,6218972.562000001,10362.989076345591,10356.275535341158,96800000
16,1000000000000000000000000,3350645.88,3685710.4680000003,4258.157513552964,4254.047245840877,24400000
17,5000000000000000000000000,4190721.36,4609793.496,8491.42644014979,8505.643650642374,78500000
18,8000000000000000000000000,4110254.36,4521279.796,10885.325061311749,10863.686352663757,130300000
19,400000000000000000000000,3405363.44,3745899.7840000005,2662.9731878167972,2668.7926659098835,18300000
20,5000000000000000000000000,7789205.6,8568126.16,6265.870693208769,6238.856446955904,52500000
21,9000000000000000000000000,5621424.62,6183567.082,9874.563169897621,9852.912667766992,87600000
22,6000000000000000000000000,4723412.899999999,5195754.1899999995,8746.400281317377,8776.356251656298,77200000
23,9000000000000000000000000,4663867.319999999,5130254.052,10826.58491375951,10817.196915531269,119500000
24,3000000000000000000000000,6653011.56,7318312.716,5250.103120051745,5228.993027272065,41600000
25,6000000000000000000000000,3952539.0399999996,4347792.944,9572.370713746379,9594.09723011817,104600000
26,8000000000000000000000000,5338180.779999999,5871998.858,9522.302699112637,9532.678127257308,84000000
27,9000000000000000000000000,3767464.94,4144211.4340000004,12047.708714292476,12035.474563932266,166500000
28,6000000000000000000000000,4367748.76,4804523.636,9125.871902212813,9126.69158928901,88500000
29,8000000000000000000000000,4287281.76,4716009.936,10629.073039026514,10637.034179497408,120100000
30,8000000000000000000000000,4407982.26,4848780.4860000005,10508.269618029406,10490.39035400467,116500000
31,5000000000000000000000000,5056546.279999999,5562200.908,7714.068277973647,7743.273215987034,58100000
32,5000000000000000000000000,5101607.8,5611768.58,7712.6291869098995,7708.999944677316,57600000
33,5000000000000000000000000,6561279.18,7217407.098,6809.332898913916,6797.626807201389,47800000
34,7000000000000000000000000,4419247.64,4861172.404,9760.294415577759,9800.346369544903,100000000
35,3000000000000000000000000,3339380.5,3673318.5500000003,7362.9588462967795,7380.643836468478,69500000
36,4000000000000000000000000,3596874.9,3956562.39,8236.25545490725,8211.7156676973,82200000
37,6000000000000000000000000,5911105.819999999,6502216.402,7883.123106223465,7845.268876595084,55100000
38,9000000000000000000000000,4774911.779999999,5252402.958,10690.508508200708,10690.675640094934,114200000
39,2000000000000000000000000,3678951.2399999998,4046846.364,5748.941275396469,5741.423152763625,40600000
40,6000000000000000000000000,4259922.9799999995,4685915.278,9200.242776050829,9241.475703012444,91900000
41,2000000000000000000000000,3896212.1399999997,4285833.354,5562.769049346449,5579.050269621389,36400000
42,9000000000000000000000000,6310222.14,6941244.354,9310.297316517712,9299.626471904938,73100000
43,700000000000000000000000,5000219.38,5500241.318,2902.8052869971984,2913.540536543098,24300000
44,10000000000000000000000000,6530701.72,7183771.892,9591.028136523673,9635.774993074068,75300000
45,8000000000000000000000000,5952948.66,6548243.526000001,9029.4235832504,9027.042753119986,70800000
46,5000000000000000000000000,5277025.859999999,5804728.4459999995,7609.48075788749,7579.786365711927,55200000
47,9000000000000000000000000,6175037.58,6792541.338,9383.089528274302,9400.869557024718,75200000
48,5000000000000000000000000,5394507.68,5933958.448,7513.713427387903,7496.795577698572,52900000
49,7000000000000000000000000,7823001.739999999,8605301.914,7333.06682852057,7365.951940700221,57500000
50,4000000000000000000000000,4201986.74,4622185.414000001,7608.516997551585,7597.474152748245,63200000
51,8000000000000000000000000,6356893.0,6992582.300000001,8693.691742796536,8735.52713669237,63600000
52,10000000000000000000000000,4894002.9399999995,5383403.234,11104.5920301117,11131.007142393368,120000000
53,2000000000000000000000000,5907887.14,6498675.854,4514.320074422975,4530.701781052405,34800000
54,7000000000000000000000000,5252885.76,5778174.336,9014.451507278985,8989.108375756576,76200000
55,9000000000000000000000000,5829029.4799999995,6411932.428,9712.322867425753,9675.862836105684,82700000
56,8000000000000000000000000,4961595.22,5457754.742000001,9900.688931265067,9887.8279868904,95000000
57,800000000000000000000000,6870272.46,7557299.706,2657.2046340920774,2657.2021036378537,30400000
58,5000000000000000000000000,5149888.0,5664876.800000001,7668.680744247148,7672.778914490916,56400000
