,planetMass,planetRadius,orbitRadius,velocity,requiredVelcity,thrust
0,5000000000000000000000000,7153516.3,7868867.930000001,6523.780222860236,6510.161928771838,49900000
1,6000000000000000000000000,3291100.3,3620210.33,10472.922572628679,10514.088796337592,140900000
2,4000000000000000000000000,3843103.92,4227414.312,7932.47362779212,7944.297620228023,72600000
3,700000000000000000000000,6862225.76,7548448.336,2488.1290225087523,2487.041851105373,29500000
4,7000000000000000000000000,4945501.819999999,5440052.001999999,9227.409007751254,9264.253097337445,83400000
5,9000000000000000000000000,5357492.859999999,5893242.146,10137.459355231731,10092.69219991818,94800000
6,8000000000000000000000000,4258313.64,4684145.004,10719.977844572888,10673.153244994735,124200000
7,8000000000000000000000000,5895012.42,6484513.6620000005,9037.90576699486,9071.29322787184,71400000
8,8000000000000000000000000,5933636.58,6527000.238000001,9016.215564001437,9041.720881111849,71600000
9,2000000000000000000000000,6305394.12,6935933.532000001,4367.721773146995,4385.564003058321,36000000
10,1000000000000000000000000,3244429.44,3568872.384,4303.803634937653,4323.121163448831,25500000
11,800000000000000000000000,6062383.779999999,6668622.158,2840.202516530388,2828.719308372211,28000000
12,9000000000000000000000000,4374186.12,4811604.732000001,11218.015294769435,11169.640619418064,133600000
13,5000000000000000000000000,5661658.12,6227823.932000001,7296.575121411989,7317.7868626264235,48300000
14,6000000000000000000000000,4935845.779999999,5429430.358,8552.045067139308,8585.417290306057,72200000
15,9000000000000000000000000,3859197.32,4245117.052,11897.714257275215,11891.573837099024,160700000
16,4000000000000000000000000,3738496.82,4112346.5020000003,8080.626603613021,8054.6757530262175,77300000
17,8000000000000000000000000,6297347.42,6927082.1620000005,8753.021529010672,8776.730055615479,64300000
18,5000000000000000000000000,4546385.5,5001024.050000001,8128.5041843419,8166.170581753791,68900000
19,8000000000000000000000000,4251876.279999999,4677063.908,10717.226764672414,10681.229790414583,123100000
20,7000000000000000000000000,3242820.0999999996,3567102.11,11405.006454522834,11440.74132349113,167300000
21,2000000000000000000000000,5433131.84,5976445.024,4735.197831347235,4724.5064947787105,33600000
22,9000000000000000000000000,3775511.6399999997,4153062.804,11965.156603347217,12022.642195890618,164200000
23,8000000000000000000000000,3757808.9,4133589.79,11390.098904016615,11361.723670122174,150400000
24,10000000000000000000000000,6699682.42,7369650.6620000005,9503.658788625391,9513.481238640923,72800000
25,10000000000000000000000000,4247048.26,4671753.086,11987.53563052241,11948.763805221968,155400000
26,4000000000000000000000000,3386051.36,3724656.4960000003,8489.279832770764,8463.496119515694,91600000
27,7000000000000000000000000,4895612.279999999,5385173.507999999,9295.730494462416,9311.337890505176,85300000
28,9000000000000000000000000,6236192.5,6859811.750000001,9331.629804956749,9354.661407213409,73300000
29,2000000000000000000000000,4440169.06,4884185.966,5204.749522078109,5226.1493799881055,31300000
30,6000000000000000000000000,5468537.319999999,6015391.052,8144.770741028816,8156.552002936654,61300000
31,5000000000000000000000000,4906877.66,5397565.426000001,7876.655596891272,7860.478089616658,61300000
32,6000000000000000000000000,6170209.56,6787230.516,7642.9772004666,7678.780306815949,50300000
33,4000000000000000000000000,3287881.6199999996,3616669.782,8546.471830771445,8588.918541334644,93600000
34,9000000000000000000000000,4354874.04,4790361.444,11224.631733521048,11194.379610121287,134400000
35,4000000000000000000000000,7415838.72,8157422.592,5713.422858950204,5718.951743042911,47800000
36,3000000000000000000000000,3461690.34,3807859.3740000003,7248.030481511756,7249.083356011229,65600000
37,9000000000000000000000000,7649193.02,8414112.322,8450.02087763942,8446.56287175523,61300000
38,10000000000000000000000000,3992772.5399999996,4392049.794,12349.159222152553,12323.364362170822,170000000
39,10000000000000000000000000,4288891.1,4717780.21,11914.404824662231,11890.334292212445,151500000
40,9000000000000000000000000,5194949.52,5714444.472,10254.220290788215,10249.369807431987,99600000
41,4000000000000000000000000,3402144.76,3742359.236,8467.62313395171,8443.454660841615,89600000
42,9000000000000000000000000,5346227.4799999995,5880850.228,10085.66313994054,10103.320084833436,94900000
43,10000000000000000000000000,4446606.42,4891267.062,11685.24215707262,11677.563270741233,141300000
44,8000000000000000000000000,4234173.54,4657590.894,10704.161441238664,10703.535183040241,122700000
45,7000000000000000000000000,5816154.76,6397770.2360000005,8581.369669151672,8542.748432015354,65800000
46,6000000000000000000000000,3730450.1199999996,4103495.1319999998,9864.175694057727,9875.556564722687,113900000
47,10000000000000000000000000,6834866.9799999995,7518353.678,9408.081692056063,9418.929386201307,70800000
48,5000000000000000000000000,4266360.34,4692996.374,8389.55320711184,8429.907511421046,76700000
49,8000000000000000000000000,4464309.16,4910740.076,10410.494848639517,10424.000814107629,114000000
50,9000000000000000000000000,6567716.54,7224488.194000001,9072.1395535566,9115.502800493383,67200000
51,9000000000000000000000000,3978288.48,4376117.328000001,11746.975115850953,11712.232716000928,154400000
52,10000000000000000000000000,6817164.239999999,7498880.664,9408.98554405706,9431.150945249348,71300000
53,10000000000000000000000000,4631680.52,5094848.572,11392.160261057383,11441.877050036192,132200000
54,10000000000000000000000000,3839885.2399999998,4223873.764,12588.264111864904,12566.30081738895,179200000
55,8000000000000000000000000,3849541.28,4234495.408,11234.629299710294,11225.535750556573,144000000
56,7000000000000000000000000,3286272.28,3614899.508,11357.697284765589,11364.852998996752,162600000
57,9000000000000000000000000,4004037.92,4404441.712,11721.596355520054,11674.512061778827,151900000
58,900000000000000000000000,6661058.26,7327164.086,2852.1276923144733,2862.307002260027,30500000
59,2000000000000000000000000,3270178.88,3597196.768,6079.434676154302,6089.698867470909,48300000
60,10000000000000000000000000,5038843.54,5542727.894,10940.132174434364,10969.861329830954,115900000
61,10000000000000000000000000,3921961.5799999996,4314157.738,12466.59011056038,12434.115777947434,174600000
62,7000000000000000000000000,3497095.82,3846805.4020000002,10966.86340355541,11016.961413695743,146200000
63,4000000000000000000000000,3971851.1199999996,4369036.232,7783.1681306178625,7814.48009857685,69000000
64,4000000000000000000000000,7940483.56,8734531.916000001,5532.614648260965,5526.791672966165,50000000
65,5000000000000000000000000,4100598.32,4510658.152,8582.110749071755,8598.60426559834,82200000
66,9000000000000000000000000,4296937.8,4726631.58,11216.949545313544,11269.59465287318,135500000
