,planetMass,planetRadius,orbitRadius,velocity,requiredVelcity,thrust
0,8000000000000000000000000,4504542.66,4954996.926000001,10331.13141521775,10377.344054914513,111500000
1,5000000000000000000000000,4451434.4399999995,4896577.884,8213.551682111396,8252.805041795282,71300000
2,9000000000000000000000000,5339790.12,5873769.132,10081.615708385956,10109.408256572951,94800000
3,6000000000000000000000000,3970241.78,4367265.958000001,9551.048174603764,9572.683980425993,103900000
4,1000000000000000000000000,4745943.66,5220538.026000001,3569.222434272847,3574.4175618530617,26100000
5,8000000000000000000000000,3870462.6999999997,4257508.97,11242.913298786418,11195.155354525401,145800000
6,9000000000000000000000000,4504542.66,4954996.926000001,11027.652276373728,11006.835527903933,126000000
7,10000000000000000000000000,4108645.02,4519509.522000001,12119.256704965997,12148.349116817553,162400000
8,10000000000000000000000000,4713756.859999999,5185132.546,11357.597042782827,11341.826139935705,128300000
9,10000000000000000000000000,4005647.26,4406211.9860000005,12359.119345733612,12303.543900026523,170400000
10,7000000000000000000000000,3910696.1999999997,4301765.82,10384.659707008543,10418.100790019475,123400000
11,8000000000000000000000000,4829629.34,5312592.274,10066.345991478927,10022.006204637788,100800000
12,3000000000000000000000000,6923380.68,7615718.748000001,5113.7198111332,5125.875998422076,42400000
13,800000000000000000000000,4284063.08,4712469.388,3377.1459557989447,3364.9889267724648,23700000
14,8000000000000000000000000,5194949.52,5714444.472,9704.527721553453,9663.19852496509,89100000
15,9000000000000000000000000,5840294.859999999,6424324.346,9693.882466750072,9666.526416555625,82700000
16,4000000000000000000000000,7243639.34,7968003.274,5773.793557668307,5786.529355722953,47100000
17,6000000000000000000000000,7468946.9399999995,8215841.634000001,7012.754211751724,6979.310380324114,53900000
18,4000000000000000000000000,3305584.36,3636142.796,8573.63132940843,8565.889102214174,94800000
19,9000000000000000000000000,7953358.279999999,8748694.108,8251.894686023183,8283.474805911721,62400000
20,5000000000000000000000000,7589647.4399999995,8348612.184,6309.0292339263,6320.344858622253,51500000
21,8000000000000000000000000,3841494.5799999996,4225644.038,11250.725071144569,11237.286550121222,145300000
22,10000000000000000000000000,7991982.4399999995,8791180.684,8716.18188365089,8710.424362564472,64700000
23,9000000000000000000000000,6624043.4399999995,7286447.784,9088.39638194729,9076.663668580108,67100000
24,7000000000000000000000000,4744334.319999999,5218767.751999999,9423.493396684185,9458.623786742186,88700000
25,10000000000000000000000000,7364339.84,8100773.824000001,9103.425462621368,9074.018567644272,63300000
26,5000000000000000000000000,5386460.9799999995,5925107.078,7508.544240623937,7502.393126135945,52600000
27,5000000000000000000000000,7578382.06,8336220.266,6346.22613472015,6325.04075843797,51600000
28,9000000000000000000000000,6665886.279999999,7332474.908,9066.824071595272,9048.13098337807,67300000
29,8000000000000000000000000,6878319.159999999,7566151.075999999,8410.541415975844,8397.894338353342,56600000
30,4000000000000000000000000,5280244.54,5808268.994000001,6808.515284938817,6777.500401282725,44500000
31,5000000000000000000000000,6490468.22,7139515.042,6853.400717811728,6834.607245690977,47600000
32,9000000000000000000000000,5515208.18,6066728.998000001,9926.87653632792,9947.33797575535,89300000
33,4000000000000000000000000,5466927.9799999995,6013620.778,6681.590477938219,6660.776997236291,41800000
34,6000000000000000000000000,6878319.159999999,7566151.075999999,7262.093687254994,7272.789835311505,51500000
35,9000000000000000000000000,5549004.319999999,6103904.751999999,9902.685643994602,9916.999643897312,88500000
36,10000000000000000000000000,5923980.54,6516378.5940000005,10106.775282653898,10117.18666141523,88700000
37,4000000000000000000000000,5726031.72,6298634.892,6531.341631234431,6508.331946464771,42300000
38,5000000000000000000000000,3310412.38,3641453.6180000002,9610.942682915851,9569.968930519759,118300000
39,10000000000000000000000000,6543576.4399999995,7197934.084,9628.705147043915,9626.290960271024,75600000
