,planetMass,planetRadius,orbitRadius,velocity,requiredVelcity,thrust
0,5000000000000000000000000,3406972.78,3747670.058,9394.08887938313,9433.37816241235,111000000
1,4000000000000000000000000,4708928.84,5179821.724,7147.78429849396,7176.877050727414,52100000
2,10000000000000000000000000,7155125.64,7870638.204,9172.350850969568,9205.723836655668,65600000
3,900000000000000000000000,5991572.819999999,6590730.102,3030.6052662114807,3017.987301515366,28600000
4,2000000000000000000000000,4696054.12,5165659.532000001,5093.3617159426585,5081.770239639463,31900000
5,6000000000000000000000000,3712747.38,4084022.1180000002,9927.375759635588,9899.072372930992,115100000
6,9000000000000000000000000,3678951.2399999998,4046846.364,12197.047320085536,12179.397734941818,174500000
7,10000000000000000000000000,4448215.76,4893037.336,11707.698120602172,11675.450640552848,142700000
8,500000000000000000000000,7943702.239999999,8738072.464,1951.4055298073572,1953.6200246442124,31100000
9,2000000000000000000000000,3661248.5,4027373.35,5768.791738443756,5755.286778409218,40600000
10,5000000000000000000000000,7401354.659999999,8141490.126,6423.689615877933,6400.235713785869,50900000
11,10000000000000000000000000,7369167.859999999,8106084.646,9107.846821057017,9071.04559145975,63100000
12,7000000000000000000000000,5275416.52,5802958.172,8980.189606414515,8969.892058579571,75800000
13,10000000000000000000000000,3860806.6599999997,4246887.326,12494.206872117855,12532.20664820037,176900000
14,9000000000000000000000000,3963804.42,4360184.862000001,11677.395771023703,11733.611923418088,153400000
15,9000000000000000000000000,6038243.68,6642068.048,9509.828135708569,9506.759587623494,78500000
16,5000000000000000000000000,4510980.02,4962078.022,8204.829404570524,8198.154993442362,70200000
17,9000000000000000000000000,7150297.619999999,7865327.381999999,8727.150669178642,8736.264405304622,59600000
18,8000000000000000000000000,4622024.4799999995,5084226.928,10247.221732815507,10244.610406289623,107100000
19,2000000000000000000000000,7925999.5,8718599.450000001,3893.4414947806313,3911.6010308642044,41800000
20,7000000000000000000000000,3443987.5999999996,3788386.36,11078.125196111212,11101.580305383923,153500000
21,800000000000000000000000,3291100.3,3620210.33,3855.1983853357997,3839.2024035776262,22200000
22,5000000000000000000000000,3967023.0999999996,4363725.41,8708.316787114809,8742.169282224357,86000000
23,6000000000000000000000000,6316659.5,6948325.45,7580.797427398549,7589.243129677397,49700000
24,400000000000000000000000,4947111.16,5441822.276000001,2207.4304362750877,2214.219828448583,21200000
25,7000000000000000000000000,3580781.5,3938859.6500000004,10911.310326253184,10887.462792775148,144600000
26,4000000000000000000000000,4327515.26,4760266.786,7501.49999390888,7486.473058749548,60300000
27,10000000000000000000000000,4766865.08,5243551.588,11315.25478383978,11278.46884993648,126900000
28,8000000000000000000000000,6300566.1,6930622.71,8816.91931876761,8774.487948015829,65200000
29,3000000000000000000000000,3611358.96,3972494.856,7128.0007638769375,7097.2789104073145,62300000
30,3000000000000000000000000,3770683.6199999996,4147751.982,6915.090691941836,6945.718125075988,56900000
31,3000000000000000000000000,3262132.1799999997,3588345.398,7483.443765140124,7467.520517128475,72400000
32,5000000000000000000000000,3743324.84,4117657.324,9023.655954257998,8999.591947998628,95100000
33,6000000000000000000000000,5169200.08,5686120.088,8358.416361782016,8389.392788348761,66600000
