,planetMass,planetRadius,orbitRadius,velocity,requiredVelcity,thrust
0,100000000000000000000000,6290910.06,6920001.066,977.2085169830548,981.7701787531422,20100000
1,4000000000000000000000000,4591447.02,5050591.722,7247.008385896729,7268.1148493974,54300000
2,3000000000000000000000000,3522845.26,3875129.786,7192.349208402655,7185.887571602638,64200000
3,8000000000000000000000000,4544776.16,4999253.776000001,10291.497692782676,10331.308231898474,109400000
4,6000000000000000000000000,4036224.7199999997,4439847.192,9513.866394920371,9494.115933155716,101500000
5,8000000000000000000000000,3381223.34,3719345.674,11958.582818025796,11977.733301953176,177200000
6,5000000000000000000000000,3242820.0999999996,3567102.11,9621.435231468517,9669.191206796888,120400000
7,8000000000000000000000000,3406972.78,3747670.058,11878.441276900501,11932.384409166723,173200000
8,8000000000000000000000000,3989553.86,4388509.246,10982.24126787155,11026.797563397049,135700000
9,9000000000000000000000000,5800061.359999999,6380067.496,9660.75344869424,9699.995550747015,83000000
10,800000000000000000000000,6257113.92,6882825.312000001,2782.0541432365535,2784.3545555094142,28500000
11,6000000000000000000000000,3389270.04,3728197.044,10330.158153207836,10360.70034884591,133600000
12,6000000000000000000000000,5294728.6,5824201.46,8285.795487202215,8289.347528950668,64300000
13,8000000000000000000000000,5903059.12,6493365.032000001,9091.963368452267,9065.108395061832,72100000
14,10000000000000000000000000,4557650.88,5013415.968,11512.977184793612,11534.427589641908,135100000
15,5000000000000000000000000,4010475.28,4411522.808,8703.8696289225,8694.68103826605,85900000
16,6000000000000000000000000,6376205.08,7013825.588,7574.556639427952,7553.723107266512,50000000
17,3000000000000000000000000,6083305.199999999,6691635.72,5476.062299404319,5468.3637909501485,39700000
18,7000000000000000000000000,3294318.98,3623750.8780000005,11375.408896043038,11350.964624018565,164700000
19,1000000000000000000000000,6553232.4799999995,7208555.728,3026.695148446566,3041.8569519965354,30900000
20,9000000000000000000000000,4663867.319999999,5130254.052,10830.036748272514,10817.196915531269,117800000
21,7000000000000000000000000,5000219.38,5500241.318,9243.482883458097,9213.424150705232,83100000
22,7000000000000000000000000,4515808.04,4967388.8440000005,9684.528932974188,9695.000998790587,96700000
23,4000000000000000000000000,3936445.6399999997,4330090.204,7845.537351663143,7849.5442277988495,69900000
24,4000000000000000000000000,3643545.76,4007900.336,8165.697842606165,8158.953460960995,80000000
25,10000000000000000000000000,5318868.7,5850755.57,10688.926479520207,10677.189226702607,106100000
26,10000000000000000000000000,6651402.22,7316542.442000001,9519.84456264899,9547.946324005885,73500000
27,8000000000000000000000000,3851150.6199999996,4236265.682,11261.525419644187,11223.19001116192,145600000
28,8000000000000000000000000,5800061.359999999,6380067.496,9189.02302948299,9145.243508550073,75400000
29,5000000000000000000000000,3350645.88,3685710.4680000003,9477.251450455546,9512.33882119596,113700000
30,8000000000000000000000000,4065192.84,4471712.124,10886.96862045922,10923.730871923624,130600000
31,10000000000000000000000000,6997410.319999999,7697151.352,9351.627884174086,9308.89011499219,68700000
32,2000000000000000000000000,3408582.1199999996,3749440.332,5990.799380965899,5964.783588767581,45800000
33,7000000000000000000000000,3646764.44,4011440.884,10827.12878895124,10788.516714158499,141100000
34,4000000000000000000000000,3506751.86,3857427.046,8295.806671802768,8316.566260801299,84500000
35,10000000000000000000000000,4094160.96,4503577.056,12149.178973323425,12169.818970003524,160900000
36,5000000000000000000000000,4420856.9799999995,4862942.678,8242.127186175388,8281.296685697347,71600000
37,8000000000000000000000000,3881728.0799999996,4269900.888,11184.364875756131,11178.898507969212,141600000
38,9000000000000000000000000,5312431.34,5843674.474,10152.192915252634,10135.40632391208,96100000
39,3000000000000000000000000,4879518.88,5367470.768,6113.498528476731,6105.745532621122,37900000
40,900000000000000000000000,5402554.38,5942809.818,3166.610009336076,3178.2514631151503,26900000
41,7000000000000000000000000,5394507.68,5933958.448,8850.770267684258,8870.328151050626,73000000
42,10000000000000000000000000,4560869.56,5016956.516,11555.134663726474,11530.356854526728,136600000
43,8000000000000000000000000,6168600.22,6785460.242000001,8878.062593891305,8867.848304535124,67200000
44,8000000000000000000000000,5417038.4399999995,5958742.284,9417.098672203418,9463.038547209753,82300000
45,2000000000000000000000000,3852759.96,4238035.956,5587.319893768704,5610.422870841159,36900000
46,700000000000000000000000,5170809.42,5687890.362000001,2853.475324043762,2865.0772008297818,24700000
47,7000000000000000000000000,4782958.4799999995,5261254.328,9410.700873755395,9420.355428391274,88500000
48,8000000000000000000000000,4448215.76,4893037.336,10439.982782294373,10442.840520087851,114000000
49,2000000000000000000000000,3398926.0799999996,3738818.688,5965.83012382619,5973.250283715975,45600000
50,7000000000000000000000000,3328115.1199999996,3660926.6319999998,11276.85404324222,11293.184523383043,161000000
51,8000000000000000000000000,6212052.399999999,6833257.64,8854.611676874714,8836.779383460853,66500000
52,2000000000000000000000000,4052318.1199999996,4457549.932,5482.7687024053075,5470.535069094457,34800000
53,10000000000000000000000000,7320887.659999999,8052976.426,9108.906553824567,9100.90755830121,63800000
54,5000000000000000000000000,3532501.3,3885751.43,9280.453790502634,9264.253097337443,104900000
55,3000000000000000000000000,4127957.0999999996,4540752.81,6612.010858132335,6638.341864164619,48900000
56,9000000000000000000000000,7612178.199999999,8373396.02,8458.459404018757,8467.07400854447,61100000
57,8000000000000000000000000,7583210.08,8341531.088,7972.370142989971,7998.066745739502,58800000
