,planetMass,planetRadius,orbitRadius,velocity,requiredVelcity,thrust
0,3000000000000000000000000,4937455.12,5431200.632,6079.391663970554,6069.81732936701,37200000
1,5000000000000000000000000,4078067.5599999996,4485874.316,8655.267447416958,8622.324598293366,83000000
2,3000000000000000000000000,3546985.36,3901683.896,7169.980084217612,7161.392939807267,63500000
3,6000000000000000000000000,4237392.22,4661131.442,9264.73050760433,9266.012188418967,92100000
4,3000000000000000000000000,3379614.0,3717575.4000000004,7330.622497529005,7336.579897357789,67900000
5,9000000000000000000000000,6212052.399999999,6833257.64,9392.989014354866,9372.81993884197,75200000
6,400000000000000000000000,7932436.859999999,8725680.546,1752.523797702803,1748.611209374926,29900000
7,10000000000000000000000000,3851150.6199999996,4236265.682,12554.481817522204,12547.907894677339,179100000
8,10000000000000000000000000,4412810.279999999,4854091.307999999,11749.347023287093,11722.195124875738,144800000
9,9000000000000000000000000,7063393.26,7769732.586,8805.065500845465,8789.843360486393,61300000
10,9000000000000000000000000,5005047.399999999,5505552.14,10487.53496184824,10442.001029711473,106100000
11,10000000000000000000000000,4086114.26,4494725.686,12216.923183713061,12181.79596234223,162900000
12,7000000000000000000000000,3508361.1999999997,3859197.32,11040.478917844377,10999.259409859631,147200000
13,6000000000000000000000000,4200377.399999999,4620415.14,9297.176283831652,9306.749894222443,94400000
14,6000000000000000000000000,4530292.1,4983321.31,8981.566546039523,8961.466736380502,83900000
15,8000000000000000000000000,4924580.399999999,5417038.4399999995,9933.027563912497,9924.918558888805,97200000
16,9000000000000000000000000,5492677.42,6041945.1620000005,9996.463091713349,9967.718903263685,92100000
17,9000000000000000000000000,5231964.34,5755160.774,10235.252511774603,10213.049609150683,99300000
18,5000000000000000000000000,3783558.34,4161914.174,8910.754366333114,8951.614252816134,92700000
19,10000000000000000000000000,5695454.26,6264999.686000001,10277.991370858817,10318.163139406384,94500000
20,8000000000000000000000000,3930008.28,4323009.108,11146.699786511344,11110.01985772529,139700000
21,5000000000000000000000000,4187502.6799999997,4606252.948,8466.766873782715,8508.911909610497,78300000
22,100000000000000000000000,7491477.699999999,8240625.47,896.5294976491435,899.6691504689265,23700000
23,6000000000000000000000000,4660648.64,5126713.504,8808.436487040804,8835.25356468345,79700000
24,7000000000000000000000000,3685388.5999999996,4053927.46,10679.44988087451,10731.834097542664,134200000
25,8000000000000000000000000,6496905.58,7146596.138,8649.570722269367,8640.886294464644,62200000
26,3000000000000000000000000,3294318.98,3623750.8780000005,7396.084543450178,7430.950657190147,70200000
27,7000000000000000000000000,5780749.279999999,6358824.208,8573.726886135226,8568.869474978314,65800000
28,9000000000000000000000000,3698263.32,4068089.6520000002,12159.681150897733,12147.55611775559,172800000
29,7000000000000000000000000,3891384.1199999996,4280522.532,10398.45264396211,10443.920162429335,122200000
30,8000000000000000000000000,4045880.76,4450468.836,10978.101820448152,10949.770791761282,134400000
31,5000000000000000000000000,7633099.619999999,8396409.582,6318.198568341089,6302.329587227129,51800000
32,10000000000000000000000000,7274216.8,8001638.48,9117.14234343255,9130.056268330241,64300000
33,6000000000000000000000000,3497095.82,3846805.4020000002,10241.762150046192,10199.724315218142,128800000
34,9000000000000000000000000,4055536.8,4461090.48,11562.133425002849,11600.15135572748,148700000
35,5000000000000000000000000,6622434.1,7284677.51,6777.366163697474,6766.167642056562,48000000
36,8000000000000000000000000,7935655.54,8729221.094,7779.966320918328,7818.441009216194,60200000
37,8000000000000000000000000,4551213.52,5006334.8719999995,10371.863410467882,10323.999204997115,110900000
38,10000000000000000000000000,7380433.239999999,8118476.564,9067.952321252418,9064.119995299307,63000000
39,10000000000000000000000000,5540957.62,6095053.382,10484.842270048639,10461.023076839758,100400000
40,8000000000000000000000000,4916533.7,5408187.07,9905.90995389942,9933.03710303477,96300000
41,4000000000000000000000000,4374186.12,4811604.732000001,7425.9447383585875,7446.427079612043,59000000
42,9000000000000000000000000,5267369.819999999,5794106.802,10158.37596909193,10178.667401180272,96200000
43,4000000000000000000000000,4638117.88,5101929.6680000005,7235.0470399008,7231.454848592448,54300000
44,8000000000000000000000000,4308203.18,4739023.498,10591.543823932241,10611.175058619907,119200000
45,7000000000000000000000000,3559860.0799999996,3915846.088,10907.714195697174,10919.408920865464,145500000
46,10000000000000000000000000,3867244.02,4253968.422,12534.757445849278,12521.771836525755,177500000
