,planetMass,planetRadius,orbitRadius,velocity,requiredVelcity,thrust
0,7000000000000000000000000,4005647.26,4406211.9860000005,10286.346348797517,10293.883365859354,119200000
1,8000000000000000000000000,3691825.96,4061008.5560000003,11468.94065725127,11462.806418866558,154100000
2,10000000000000000000000000,5822592.12,6404851.332,10233.784022187745,10204.89146812597,91900000
3,10000000000000000000000000,5038843.54,5542727.894,10950.689993419635,10969.861329830954,114400000
4,7000000000000000000000000,3917133.5599999996,4308846.916,10406.286259730254,10409.536792854895,122700000
5,8000000000000000000000000,5217480.279999999,5739228.307999999,9610.872135816264,9642.311549894002,87200000
6,1000000000000000000000000,3276616.2399999998,3604277.864,4323.318781698033,4301.835356312385,25600000
7,7000000000000000000000000,7626662.26,8389328.486,7430.380650184526,7460.163352271203,56700000
8,9000000000000000000000000,3933226.96,4326549.656,11736.852342860835,11779.132998206434,156200000
9,2000000000000000000000000,5618205.9399999995,6180026.534,4657.973458796316,4646.037864583188,34100000
10,8000000000000000000000000,5792014.66,6371216.126000001,9179.5211376731,9151.593931861367,74900000
11,5000000000000000000000000,5700282.279999999,6270310.507999999,7262.459117142901,7292.952672688988,47800000
12,6000000000000000000000000,3812526.46,4193779.106,9725.100478625707,9768.67736830814,110400000
13,7000000000000000000000000,5627861.9799999995,6190648.178,8687.860789476832,8684.481119947053,68400000
14,10000000000000000000000000,5473365.34,6020701.874000001,10494.758830050647,10525.418081767653,101500000
15,7000000000000000000000000,5124138.56,5636552.416,9115.125742630982,9101.336296988115,79400000
16,7000000000000000000000000,4105426.34,4515968.974,10121.626929583059,10168.02164859959,113900000
17,6000000000000000000000000,6746353.279999999,7420988.608,7321.374211747219,7343.577113919497,51000000
18,5000000000000000000000000,5260932.46,5787025.706,7578.667645397497,7591.370945856601,54700000
19,8000000000000000000000000,4736287.62,5209916.382,10150.770953181462,10120.280129355253,104300000
20,8000000000000000000000000,6039853.02,6643838.322,8985.48073555901,8961.864696579485,69600000
21,10000000000000000000000000,5228745.66,5751620.226000001,10775.548956902123,10768.812511566199,108300000
22,10000000000000000000000000,4966423.239999999,5463065.563999999,11009.768627323356,11049.553032021402,117000000
23,700000000000000000000000,5827420.14,6410162.154,2690.7023912768173,2698.841807154052,26400000
24,4000000000000000000000000,3831838.54,4215022.394,7977.207857394116,7955.966933692772,73700000
25,8000000000000000000000000,5769483.899999999,6346432.29,9146.706502039746,9169.445741365093,74900000
26,9000000000000000000000000,6138022.76,6751825.036,9397.967546518932,9429.172520443595,75700000
27,10000000000000000000000000,4097379.6399999997,4507117.604,12113.774325877817,12165.038054882863,162100000
28,7000000000000000000000000,3773902.3,4151292.5300000003,10562.864571047974,10605.2343051122,129000000
29,6000000000000000000000000,4057146.1399999997,4462860.754,9486.316503527365,9469.605216632513,99400000
30,10000000000000000000000000,4301765.819999999,4731942.402,11896.663889394255,11872.527716452289,149000000
31,5000000000000000000000000,5280244.54,5808268.994000001,7581.951027958905,7577.475807400138,54600000
32,6000000000000000000000000,3522845.26,3875129.786,10136.848221338647,10162.379661448715,124900000
33,10000000000000000000000000,4071630.1999999997,4478793.22,12223.064357719793,12203.443953287453,165700000
34,6000000000000000000000000,3574344.1399999997,3931778.554,10102.534715987822,10088.904646889572,124400000
35,10000000000000000000000000,6234583.159999999,6858041.476,9824.808146267855,9861.951520805078,81200000
36,500000000000000000000000,6036634.34,6640297.774,2245.8413504827045,2241.0633929144137,25100000
37,10000000000000000000000000,4681570.06,5149727.066,11402.37312339294,11380.74810107176,130100000
38,7000000000000000000000000,5544176.3,6098593.930000001,8787.403747419856,8749.778889887883,71000000
39,4000000000000000000000000,4988954.0,5487849.4,6986.989329597621,6972.552937674342,48000000
40,10000000000000000000000000,4345218.0,4779739.800000001,11829.38344020141,11813.015924570173,146700000
41,4000000000000000000000000,4813535.9399999995,5294889.534,7068.200676201024,7098.465250392267,50300000
42,5000000000000000000000000,4649383.26,5114321.586,8115.499997636004,8075.211441754412,67500000
43,10000000000000000000000000,4039443.4,4443387.74,12282.967813798508,12251.966784664017,165600000
44,8000000000000000000000000,4237392.22,4661131.442,10727.3565899322,10699.469262596087,124900000
45,10000000000000000000000000,4070020.86,4477022.946,12258.47087789676,12205.856416284882,167600000
46,700000000000000000000000,7327325.02,8060057.522,2402.9735781714458,2406.8158693327514,31000000
47,10000000000000000000000000,5611768.58,6172945.438000001,10414.349327070708,10394.813404861174,97800000
48,900000000000000000000000,7888984.68,8677883.148,2637.7133387732993,2630.1303498613815,34800000
49,5000000000000000000000000,4026568.6799999997,4429225.548,8654.837047632713,8677.288180204132,84600000
50,6000000000000000000000000,4263141.66,4689455.826,9263.16726029008,9237.986378476879,92400000
51,8000000000000000000000000,6706119.779999999,7376731.757999999,8538.075903592833,8505.03127124343,59300000
52,10000000000000000000000000,4718584.88,5190443.368000001,11327.75845018059,11336.022219995764,129100000
53,9000000000000000000000000,3855978.6399999997,4241576.504,11856.406434909422,11896.535896082805,160200000
54,4000000000000000000000000,3843103.92,4227414.312,7946.038035850422,7944.297620228023,73600000
55,5000000000000000000000000,3588828.1999999997,3947711.02,9212.873006948355,9191.264034875152,102700000
56,7000000000000000000000000,5909496.4799999995,6500446.128,8433.341191747924,8475.012652424355,62800000
57,5000000000000000000000000,5661658.12,6227823.932000001,7321.662743390744,7317.7868626264235,48600000
58,5000000000000000000000000,5354274.18,5889701.598,7542.1812367158855,7524.909362614923,53700000
59,10000000000000000000000000,6693245.06,7362569.566000001,9500.952799454624,9518.055027962195,73400000
60,900000000000000000000000,7449634.859999999,8194598.346,2711.1314578343963,2706.576681427519,33200000
61,3000000000000000000000000,5455662.6,6001228.86,5768.061844267529,5774.3545946842,37900000
62,8000000000000000000000000,4972860.6,5470146.66,9864.908048344587,9876.621831600789,94300000
63,10000000000000000000000000,4097379.6399999997,4507117.604,12200.656199558794,12165.038054882863,164500000
64,8000000000000000000000000,3859197.32,4245117.052,11164.129110930924,11211.48333225767,143500000
65,9000000000000000000000000,6176646.92,6794311.612000001,9424.230252238543,9399.644767812691,75800000
66,4000000000000000000000000,3506751.86,3857427.046,8308.728668094862,8316.566260801299,84600000
67,10000000000000000000000000,4201986.74,4622185.414000001,12052.896965544824,12012.66139347123,157900000
68,7000000000000000000000000,5005047.399999999,5505552.14,9163.885346871235,9208.979304832312,81700000
69,7000000000000000000000000,6638527.5,7302380.250000001,8034.901559410458,7996.12758538957,53400000
70,8000000000000000000000000,4491667.9399999995,4940834.734,10392.463694739323,10392.205994581178,111800000
71,6000000000000000000000000,3233164.06,3556480.4660000005,10582.032747310697,10607.873407879222,146500000
72,4000000000000000000000000,4359702.06,4795672.266,7427.208205578255,7458.786303186602,59200000
73,9000000000000000000000000,5540957.62,6095053.382,9947.398250890697,9924.197873518875,89700000
74,9000000000000000000000000,4274407.04,4701847.744000001,11294.691463937317,11299.257107853387,135800000
75,4000000000000000000000000,4823191.9799999995,5305511.178,7060.285400999103,7091.356119664939,50100000
76,9000000000000000000000000,4166581.26,4583239.386,11479.229668658896,11444.528394539404,143700000
77,7000000000000000000000000,3237992.0799999996,3561791.2879999997,11406.457365187302,11449.267526132866,167200000
78,5000000000000000000000000,4501323.9799999995,4951456.378,8202.58057126258,8206.943441554735,70100000
79,7000000000000000000000000,3695044.6399999997,4064549.104,10730.982661526034,10717.802493244948,137300000
80,200000000000000000000000,6788196.12,7467015.732000001,1329.9800960450416,1336.6090016144512,23300000
